Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
1998-01-01,370.0,379.0,370.0,373.25,376.83467741935,24800.0,27.0,9345500.0,,,9.0,3.25
1998-01-02,416.0,445.0,416.0,440.0,426.32784431138,16700.0,33.0,7119675.0,,,29.0,24.0
1998-01-05,440.0,446.75,437.0,440.0,440.74074074074,2700.0,20.0,1190000.0,,,9.75,0.0
1998-01-06,430.0,431.5,428.0,430.0,430.203125,1600.0,16.0,688325.0,,,3.5,0.0
1998-01-07,430.0,430.0,427.0,430.0,429.58333333333,1800.0,8.0,773250.0,,,3.0,0.0
1998-01-08,425.0,425.0,412.0,412.0,417.06730769231,2600.0,10.0,1084375.0,,,13.0,-13.0
1998-01-28,361.0,361.0,355.0,357.25,356.65625,1600.0,11.0,570650.0,,,6.0,-3.75
1998-01-29,350.0,354.75,345.25,350.0,349.86904761905,2100.0,7.0,734725.0,,,9.5,0.0
1998-02-02,349.0,353.0,344.0,345.0,345.53042876902,72300.0,55.0,24981850.0,,,9.0,-4.0
1998-02-03,348.0,349.75,340.0,340.5,340.97245989305,93500.0,77.0,31880925.0,,,9.75,-7.5
1998-02-04,345.0,363.0,342.0,354.5,346.31183083512,186800.0,185.0,64691050.0,,,21.0,9.5
1998-02-05,356.0,364.0,350.0,360.0,359.63864306785,33900.0,86.0,12191750.0,,,14.0,4.0
1998-02-10,351.5,352.0,346.0,350.0,349.18238434164,56200.0,29.0,19624050.0,,,6.0,-1.5
1998-02-11,350.0,354.0,347.75,350.0,351.11295180723,16600.0,17.0,5828475.0,,,6.25,0.0
1998-02-12,348.0,350.0,335.0,339.75,342.95127834057,207300.0,95.0,71093800.0,,,15.0,-8.25
1998-02-13,342.75,342.75,335.0,336.25,337.59090909091,3300.0,28.0,1114050.0,,,7.75,-6.5
1998-02-26,363.25,383.0,363.25,374.75,375.81218274112,19700.0,107.0,7403500.0,,,19.75,11.5
1998-02-27,382.0,387.0,375.0,379.75,379.41611111111,45000.0,97.0,17073725.0,,,12.0,-2.25
1998-03-02,385.0,388.0,375.5,385.0,382.29400196657,101700.0,123.0,38879300.0,,,12.5,0.0
1998-03-03,375.0,383.0,374.0,379.5,377.76388888889,37800.0,56.0,14279475.0,,,9.0,4.5
1998-03-04,376.0,386.0,376.0,384.0,380.459697733,39700.0,38.0,15104250.0,,,10.0,8.0
1998-03-05,379.0,379.0,375.0,375.0,378.34782608696,2300.0,11.0,870200.0,,,4.0,-4.0
1998-03-06,360.0,379.0,360.0,371.75,372.99342105263,7600.0,45.0,2834750.0,,,19.0,11.75
1998-03-18,367.0,371.0,367.0,367.5,368.00721153846,10400.0,5.0,3827275.0,,,4.0,0.5
1998-03-19,368.0,370.0,365.0,366.0,365.39369256475,119700.0,23.0,43737625.0,,,5.0,-2.0
1998-03-20,365.0,400.0,345.0,364.25,366.83146964856,125200.0,45.0,45927300.0,,,55.0,-0.75
1998-03-25,380.0,383.0,380.0,381.0,381.53571428571,700.0,5.0,267075.0,,,3.0,1.0
1998-04-06,384.25,384.75,384.25,384.75,391.92574257426,20200.0,3.0,7916900.0,,,0.5,0.5
1998-04-13,398.75,398.75,391.0,394.5,393.5,600.0,6.0,236100.0,,,7.75,-4.25
1998-04-15,391.0,391.0,380.0,385.0,386.69484083425,91100.0,22.0,35227900.0,,,11.0,-6.0
1998-04-16,380.0,395.0,380.0,394.75,390.80479452055,7300.0,23.0,2852875.0,,,15.0,14.75
1998-04-22,413.75,415.0,406.0,406.5,409.3,2000.0,13.0,818600.0,,,9.0,-7.25
1998-04-23,403.0,405.0,392.0,394.5,397.0,1100.0,7.0,436700.0,,,13.0,-8.5
1998-04-24,395.0,404.75,393.0,400.0,398.37068965517,2900.0,22.0,1155275.0,,,11.75,5.0
1998-04-27,394.0,402.0,392.5,400.75,397.37931034483,2900.0,16.0,1152400.0,,,9.5,6.75
1998-05-12,387.0,400.0,387.0,400.0,382.09478935698,45100.0,14.0,17232475.0,,,13.0,13.0
1998-05-18,374.75,384.0,370.0,370.75,375.36847826087,23000.0,21.0,8633475.0,,,14.0,-4.0
1998-05-19,375.0,378.75,375.0,375.75,376.25,1200.0,12.0,451500.0,,,3.75,0.75
1998-05-20,381.0,381.0,376.25,378.5,377.73598130841,10700.0,10.0,4041775.0,,,4.75,-2.5
1998-05-21,375.5,377.5,375.5,377.0,376.66666666667,300.0,3.0,113000.0,,,2.0,1.5
1998-05-22,375.5,375.5,369.0,369.0,371.10714285714,2100.0,14.0,779325.0,,,6.5,-6.5
1998-05-25,385.0,395.0,377.0,377.0,381.28787878788,3300.0,19.0,1258250.0,,,18.0,-8.0
1998-05-26,377.0,379.5,348.25,352.75,362.3359375,3200.0,22.0,1159475.0,,,31.25,-24.25
1998-05-27,359.75,363.75,350.0,360.0,359.00669642857,11200.0,30.0,4020875.0,,,13.75,0.25
1998-05-28,362.75,365.0,352.0,362.0,358.02810902896,117400.0,33.0,42032500.0,,,13.0,-0.75
1998-05-29,350.0,360.0,350.0,354.0,353.72543827611,273800.0,46.0,96850025.0,,,10.0,4.0
1998-06-04,364.0,378.75,360.0,369.5,374.66666666667,3900.0,30.0,1461200.0,,,18.75,5.5
1998-06-05,363.0,363.0,354.0,358.25,358.59756097561,4100.0,29.0,1470250.0,,,9.0,-4.75
1998-06-08,350.0,350.0,350.0,350.0,352.07142857143,10000.0,13.0,3500000.0,,,6.0,0.0
1998-07-02,330.0,330.25,325.0,325.0,329.22916666667,2400.0,6.0,790150.0,,,5.25,0.0
1998-07-03,320.0,320.0,319.5,320.0,319.625,300.0,8.0,31962500.0,,,6.0,6.0
1998-07-06,325.75,330.0,322.0,325.75,323.88636363636,1100.0,7.0,356275.0,,,8.0,0.0
1998-07-07,325.0,325.0,320.0,323.0,321.99887791741,111400.0,10.0,35870675.0,,,5.0,-2.0
1998-07-08,321.5,323.0,321.5,323.0,322.0625,800.0,4.0,257650.0,,,1.5,1.5
1998-07-09,323.0,323.0,322.0,323.0,322.90909090909,1100.0,5.0,355200.0,,,1.0,0.0
1998-07-10,325.0,330.0,325.0,328.75,328.74784482759,11600.0,16.0,3813475.0,,,5.0,3.75
1998-07-13,328.0,330.0,320.0,324.75,325.45192307692,15000.0,17.0,4950000.0,,,10.0,-3.25
1998-07-15,331.0,338.0,330.75,334.25,333.44117647059,3400.0,25.0,1133700.0,,,7.25,3.25
1998-07-16,338.0,342.0,335.0,335.25,337.49576271186,17700.0,22.0,5973675.0,,,7.0,-2.75
1998-07-17,335.0,340.0,333.5,339.25,335.91666666667,5100.0,22.0,1713175.0,,,6.5,4.25
1998-07-20,337.0,337.0,315.0,324.5,328.06984732824,65500.0,58.0,21488575.0,,,22.0,-12.5
1998-07-21,322.5,328.5,325.0,327.0,326.75,26300.0,25.0,8626800.0,,,7.5,4.5
1998-07-27,317.0,330.0,314.0,330.0,324.23717948718,50700.0,67.0,16438825.0,,,16.0,13.0
